name,specialization_id
знание языков JavaScript/HTML5/CSS3,1
опыт адаптивной и кроссбраузерной верстки,1
понимание JS фреймворков Angular2/ReactJS/jQuery/Node.js,1
знание Python и опыт разработки на нем,2
понимание сетевых технологий,2
знание SQL/MySQL/PostgreSQL/Redis,2
владение инструментами создания прототипов интерфейсов – Figma/Sketch/Illustrator/Adobe CС и др,3
опыт в создании UI элементов/иллюстраций/иконок,3
владение основами типографики и композиции,3
высшее образование (предпочтительно в сфере финансов/экономики/бухгалтерии),4
опыт работы с CRM системами аналитической обработки данных или банковскими информационными системами,4
опыт работы в бизнес-аналитике,4
высшее образование предпочтительно в сфере финансов/экономики/бухгалтерии,5
опыт работы с CRM системами аналитической обработки данных или банковскими информационными системами,5
опыт разработки регламентирующей документации,5
Высшее профильное образование,6
Знание законодательства в области налогообложения и бухгалтерии знание российской системы бухгалтерского учета,6
Высшее юридическое образование,7
Опыт работы часто — по конкретному направлению,7
Знание информационно-правовых систем,7
высшее юридическое образование (желательно широкого профиля),8
наличие действующей лицензии нотариуса,8
хорошее знание практически всех отраслей законодательства,8
Высшее юридическое образование,9
Опыт работы (часто — по конкретному направлению),9
Знание информационно-правовых систем,9
